#freq, s11_mag, s21_mag, s11_mp_mag, s21_mp_mag
29767535.0701, -0.186976296339, -24.2720401379, -34.2801098077, -2.85651072267
29965931.8637, -0.186786582978, -24.2837762904, -37.4042992192, -2.86464761145
30164328.6573, -0.186801617487, -24.2921070893, -39.3304112502, -2.87325664466
30362725.4509, -0.187016784149, -24.2973232161, -37.0669508798, -2.88254225108
30561122.2445, -0.187371044221, -24.3005912355, -33.9920864752, -2.89250802898
30759519.0381, -0.187763636414, -24.303625302, -31.7602698344, -2.90295582765
30957915.8317, -0.18808227543, -24.3082007135, -30.3392320249, -2.91354231559
31156312.6253, -0.188235445488, -24.3156440921, -29.5836177917, -2.92387671343
31354709.4188, -0.188179308843, -24.3264487395, -29.4125578634, -2.93363166588
31553106.2124, -0.187930648615, -24.3401320516, -29.8074419272, -2.94263588269
31751503.006, -0.187561597891, -24.3553789582, -30.8074915343, -2.95092254675
31949899.7996, -0.187178079503, -24.3704261006, -32.5139658488, -2.95872007965
32148296.5932, -0.186889072718, -24.3835692345, -35.0559117724, -2.9663877787
32346693.3868, -0.186775970466, -24.3936457519, -38.0799806015, -2.97431426707
32545090.1804, -0.186870295631, -24.4003589834, -38.6866081259, -2.98280728845
32743486.9739, -0.187145203291, -24.4043590507, -35.8941939229, -2.99200616796
32941883.7675, -0.187522761343, -24.4070600086, -33.1192628412, -3.00184209815
33140280.5611, -0.187895418253, -24.4102412145, -31.1847299856, -3.01205775263
33338677.3547, -0.188156407303, -24.4155402616, -29.9940595309, -3.02228056298
33537074.1483, -0.188230739082, -24.4239807264, -29.4287305377, -3.03212856623
33735470.9419, -0.188097354207, -24.4356748176, -29.4310763765, -3.04131864416
33933867.7355, -0.187795242809, -24.4497921805, -30.0003412678, -3.04974660114
34132264.5291, -0.187411585047, -24.4648041635, -31.1915913378, -3.05751670543
34330661.3226, -0.187056008701, -24.4789274753, -33.1149130289, -3.06491249449
34529058.1162, -0.186829181234, -24.4906338927, -35.8332796539, -3.07231687541
34727454.9098, -0.186794815999, -24.4990803937, -38.4385222724, -3.08010382691
34925851.7034, -0.186962339075, -24.5043432222, -37.7328752773, -3.08853222163
35124248.497, -0.187284339916, -24.5073952416, -34.8130569202, -3.09767207552
35322645.2906, -0.187669463314, -24.5098328813, -32.3449753046, -3.10738449649
35521042.0842, -0.188007795534, -24.5134246349, -30.677934078, -3.11736116082
35719438.8778, -0.188202255223, -24.5196048187, -29.699563268, -3.1272119638
35917835.6713, -0.188197000606, -24.5290584075, -29.3158176189, -3.13657570017
36116232.4649, -0.187993952639, -24.5415219788, -29.489076419, -3.14522231931
36314629.2585, -0.187652022178, -24.5558622593, -30.2348661368, -3.15311802014
36513026.0521, -0.187269435966, -24.5704073768, -31.6221834226, -3.16043503469
36711422.8457, -0.186955078487, -24.5834289985, -33.758007305, -3.16750331323
36909819.6393, -0.186797672104, -24.5936332311, -36.5564878423, -3.17471750315
37108216.4329, -0.18684133495, -24.6005229217, -38.3735397021, -3.18242520364
